8	43.821	8	58.160
14	113.920	14	128.997
14	114.153	14	154.382
1	0.811	1	0.758
1	0.218	1	0.218
1	0.309	1	0.322
1	0.111	1	0.126
2	13.407	2	14.742
1	0.073	1	0.075
1	0.181	1	0.194
1	0.380	1	0.407
1	0.043	1	0.049
1	0.385	1	0.411
1	0.401	1	0.395
			
3	9.234	3	10.026
4	29.318	4	48.490
			
4	0.762	4	0.881
3	4.727	3	4.817
4	58.017	4	50.248
10	50.957	10	54.703
4	79.119	4	82.022
4	29.247	4	30.358
9	46.504	9	52.239
8	680.182	8	672.129
5	31.399	5	29.099
4	43.587	4	47.922
4	42.809	4	37.132
5	28.304	5	27.011
5	28.105	5	28.506
109	227.593	109	236.590
5	7.818	5	8.475
6	12.969	6	11.776
5	8.697	5	8.574
1	0.009	1	0.010
1	0.019	1	0.020
1	0.032	1	0.037
1	0.035	1	0.042
1	0.033	1	0.033
1	0.018	1	0.019
1	0.031	1	0.031
4	0.150	4	0.145
4	0.156	4	0.172
2	0.089	2	0.085
1	0.029	1	0.029
2	26.913	2	153.893
2	19.477	2	19.893
2	11.058	2	14.539
2	128.856	2	148.805
2	13.980	2	13.507
2	896.530	2	895.283
2	896.614	2	896.619
2	859.124	2	897.050
2	895.373	2	895.658
2	289.380	2	303.014
2	530.835	2	171.880
2	101.485	2	85.780
2	166.619	2	203.797
2	63.441	2	92.573
3	191.115	3	240.244
3	133.623	3	476.816
3	177.155	3	232.127
2	896.479	2	896.722
2	895.465	2	897.003
2	896.684	2	896.783
2	896.047	2	896.647
2	896.171	2	896.975
2	896.403	2	896.134
2	895.273	2	896.892
2	896.924	2	897.305
2	896.117	2	896.835
2	896.042	2	895.948
2	895.852	2	896.301
2	895.560	2	895.645
2	896.239	2	896.119
2	896.104	2	896.032
2	896.982	2	896.837
2	896.576	2	896.225
2	896.740	2	896.934
2	896.505	2	896.727
3	749.688	3	763.839
3	846.502	3	845.040
3	868.011	3	863.897
3	771.339	3	770.960
2	240.073	2	433.227
13	4.863	13	4.985
1	0.017	1	0.018
4	173.045	4	182.459
1	0.017	1	0.017
22	143.458	22	154.412
3	0.051	3	0.048
1	0.021	1	0.022
2	0.545	2	0.554
2	0.298	2	0.285
2	0.698	2	0.715
1	0.018	1	0.017
1	0.090	1	0.086
0		0	
1	0.226	1	0.245
3	0.245	3	0.246
2	0.623	2	0.631
1	0.232	1	0.227
1	0.319	1	0.253
1	0.017	1	0.017
3	0.664	3	0.668
4	1.070	4	1.081
2	0.024	2	0.022
			
8	313.430	8	329.714
2	0.403	2	0.381
2	0.076	2	0.074
1	0.037	1	0.037
2	118.058	2	137.299
2	0.225	2	0.236
2	0.259	2	0.238
1	0.032	1	0.034
1	0.031	1	0.030
3	7.238	3	9.100
2	1.593	2	1.616
3	4.341	3	4.590
1	0.255	1	0.285
1	0.349	1	0.364
2	25.198	2	35.163
2	28.702	2	44.072
4	895.205	4	895.060
21	32.194	21	38.090
13	36.064	13	37.472
13	67.306	13	65.303
19	51.062	19	42.431
44	99.069	44	106.561
59	276.176	59	272.041
13	43.816	13	33.527
13	69.483	13	70.718
10	12.655	10	12.157
10	30.860	10	27.749
7	17.452	7	19.270
7	20.150	7	21.448
7	25.979	7	22.060
7	19.255	7	18.842
31	668.120	31	661.696
10	91.851	10	98.950
3	33.063	3	32.132
21	561.262	21	547.831
3	31.397	3	35.297
6	25.101	6	32.979
6	31.689	6	30.147
2	0.441	2	0.431
3	10.558	3	11.006
4	10.353	4	11.850
4	11.390	4	13.129
4	12.605	4	11.100
4	27.429	4	26.888
3	0.872	3	0.830
3	0.274	3	0.256
4	20.997	4	22.516
5	29.424	5	29.592
5	25.311	5	32.975
