1	14
2	6
3	2
4	5
5	2
6	2
7	1
9	2
11	6
12	5
13	10
14	6
15	5
16	4
17	1
18	2
19	3
20	5
21	10
22	4
23	2
25	3
26	16
27	4
28	6
29	37
30	6
31	9
32	1
33	2
34	4
35	1
36	2
37	9
38	14
39	2
40	11
41	3
42	4
43	3
44	4
45	6
46	6
47	3
48	3
49	4
50	5
52	1
53	5
54	5
55	4
56	2
57	4
58	5
59	4
60	4
61	8
62	3
63	6
64	5
65	5
66	3
67	1
68	3
69	1
70	2
71	1
72	1
77	2
78	1
79	2
80	3
81	4
83	1
84	1
86	1
87	1
88	1
89	1
93	1
97	2
98	4
99	5
100	2
101	5
105	1
106	1
107	1
108	4
109	1
113	1
114	1
115	1
116	1
118	1
123	1
124	2
126	1
131	1
138	1
145	1
148	1
154	1
179	1
194	1
206	1
208	1
214	1
218	1
223	1
233	1
320	1
324	1
343	1
355	1
360	1
362	1
363	1
365	1
377	1
386	1
548	1
593	1
863	1
873	1
